"Presence","lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
1,-49.448611,-26.286389,0.650704225352113,0.395209580838323,0.303571428571429,0.458319922755069,0.644012944983819,0.587529976019185,0.482394366197183,0.777215189873418,0.501483679525223,0.689655172413793,0.611675126903553,0.146026623638564,0.178571428571429,0.124233128834356,0.0975609756097561,0.172228202368138,0.129226493747105,0.196126905644829,0.103695730175816
1,-49.410833,-26.91,0.704225352112676,0.353293413173653,0.267857142857143,0.454296749275829,0.711974110032362,0.654676258992806,0.457746478873239,0.820253164556962,0.55786350148368,0.746081504702194,0.66243654822335,0.158531665994353,0.18265306122449,0.138036809815951,0.0853658536585366,0.181198421241478,0.137100509495137,0.206427688504326,0.113742375313958
1,-53,-33,0.670422535211268,0.311377245508982,0.160714285714286,0.54602510460251,0.70873786407767,0.630695443645084,0.48943661971831,0.592405063291139,0.688427299703264,0.730407523510972,0.614213197969543,0.120713997579669,0.11530612244898,0.131901840490798,0.0365853658536585,0.11697165410836,0.126447429365447,0.124021425628348,0.114101184068891
1,-47.102222,-23.515556,0.667605633802817,0.365269461077844,0.392857142857143,0.34872867718056,0.608414239482201,0.618705035971223,0.397887323943662,0.767088607594937,0.537091988130564,0.68025078369906,0.644670050761421,0.152985074626866,0.254081632653061,0.0705521472392638,0.227642276422764,0.246142805884464,0.0690134321445113,0.265760197775031,0.0534625044851094
1,-47.0608,-22.9056,0.729577464788732,0.44311377245509,0.446428571428571,0.359510782104924,0.682847896440129,0.645083932853717,0.440140845070423,0.817721518987342,0.596439169139466,0.739811912225705,0.695431472081218,0.132210568777733,0.226530612244898,0.0398773006134969,0.25609756097561,0.22497308934338,0.047244094488189,0.258343634116193,0.0365984930032293
1,-52,-31,0.709859154929578,0.305389221556886,0.142857142857143,0.538300611522369,0.741100323624595,0.652278177458034,0.492957746478873,0.645569620253165,0.774480712166172,0.774294670846395,0.647208121827411,0.140278338039532,0.138775510204082,0.131901840490798,0.0569105691056911,0.142088266953714,0.135247799907365,0.147919241862382,0.14172945819878
1,-48.915556,-27.113333,0.732394366197183,0.305389221556886,0.214285714285714,0.464917927261023,0.72168284789644,0.669064748201439,0.447183098591549,0.853164556962025,0.593471810089021,0.783699059561129,0.682741116751269,0.167507059298104,0.207142857142857,0.133435582822086,0.105691056910569,0.202726946537496,0.134321445113478,0.232797692624639,0.105848582705418
1,-52.214444,-32.054722,0.692957746478873,0.263473053892216,0.0892857142857143,0.582555519794014,0.711974110032362,0.635491606714628,0.485915492957746,0.650632911392405,0.756676557863502,0.77115987460815,0.624365482233503,0.126159741831384,0.131632653061224,0.102760736196319,0.0691056910569106,0.130247578040904,0.11162575266327,0.132674083230326,0.125224255471834
1,-57.6333,-32.6833,0.687323943661972,0.467065868263473,0.142857142857143,0.732378500160927,0.828478964401295,0.580335731414868,0.693661971830986,0.860759493670886,0.492581602373887,0.808777429467085,0.593908629441624,0.120108914885034,0.139795918367347,0.115030674846626,0.0731707317073171,0.131682813060639,0.109773043075498,0.132262051915946,0.0853964836742016
1,-55.92896,-34.02409,0.661971830985915,0.425149700598802,0.142857142857143,0.694882523334406,0.779935275080906,0.577937649880096,0.644366197183099,0.777215189873418,0.756676557863502,0.768025078369906,0.576142131979695,0.125352964905204,0.119387755102041,0.139570552147239,0.0284552845528455,0.120200932902763,0.133858267716535,0.123197362999588,0.108719052744887
