"Species","Leaf Area per Leaf Dry Mass","Whole Plant Height","Seed Mass"
"Pennisetum glaucum",12.83995,0.32015,9.366125
"Physalis alkekengi",33.3,0.625,1.585
"Piper aequale",24.48713015,4,0.06
"Piper amalago",13.7741123219512,5.80849230769231,1.36
"Piper arboreum",28.898,3,1.01
"Piper auritum",17.793607668984,2.5,7
"Piper hispidum",21.7677719186502,3,0.406666666666667
"Piper reticulatum",22.571,10,5.225
"Piper tucumanum",17.69,10.94,10940
"Pisum sativum",36.6104375,0.271449,205.09269047619
"Prunus americana",30.73455,5.88507376425856,698.89444
"Prunus emarginata",14.0634674468,12.4973242553191,43.1765569090909
"Prunus ilicifolia",6.90057926105556,9.87,1667.81019230769
"Prunus laurocerasus",5.70778291362008,5.42536,250.098571428571
"Prunus mahaleb",18.6216636842105,6.34949771428571,78.4309958181818
"Prunus pensylvanica",16.147532095,12.75372526574,45.8206944444444
"Prunus serotina",18.8308517311291,14.3683470994286,103.481333285714
"Prunus subcordata",17.182,8.5344,820.1818075
"Prunus virginiana",12.2587357675,9.88861374045802,72.0651307619048
"Pyrus communis",7.007047938,6.67870909090909,32.1818618181818
"Raphanus raphanistrum",25.6333333333333,0.338461538461538,16.725875
"Raphanus sativus",31.4677777777778,0.528571428571429,12.3562580645161
"Ribes divaricatum",34.5845,2.9333335,2.0605
"Ribes malvaceum",10.196506684492,1.4,1.5576
"Ribes reclinatum",3.43642611683849e-05,0.6,5.832
"Ribes sanguineum",21.1384025,1.7879114,2.96444828571429
"Rorippa amphibia",30.16038619,0.653125,0.103333333333333
"Rorippa islandica",25.6,0.15,0.062125
"Rorippa palustris",41.2226923076923,0.327307692307692,0.074
"Rorippa sylvestris",31.9655555555556,0.29375,0.11
"Rubus fruticosus",15.78375,1.82875,2.295
"Rubus hispidus",14.4397843,2.4,2.91208066666667
"Rubus leucodermis",29.72711,2,0.9608265
"Rubus parviflorus",30.087900992,1.892647,0.9915382
"Rubus spectabilis",18.52408,4,3.17901414285714
"Rubus ulmifolius",13.118,1.25,2.58
"Rubus ursinus",23.61026,2.651613,2.11218683333333
"Sesamum indicum",19.93495,0.1275,2.54385714285714
"Setaria italica",23.928,0.798571428571429,2.29733333333333
"Setaria pumila",23.8145714285714,0.46,0.871
"Setaria sphacelata",2.0549,0.2471625,0.71
"Setaria viridis",25.2657986692857,0.576428571428571,1.09366666666667
"Sinapis alba",23.0171428571429,0.4025,5.48125
"Sinapis arvensis",38.6472605263158,0.4316667,2.44203254545455
"Solanum dulcamara",33.3669708333333,1.18181818181818,26.48972325
"Solanum nigrum",25.225,0.6,0.675642857142857
"Solanum pimpinellifolium",3.70837473771328,0.3145,1.345
"Solanum riparium",14.64,16.62,16620
"Sorghum bicolor",20.9981,0.2833,14.1692
"Theobroma speciosum",16.8997684210526,9.9,859.9647375
"Tropaeolum majus",29.485,0.898571428571429,146.7
"Vaccinium ovatum",9.72,3,8.92824115384615
"Vaccinium oxycoccos",15.4190909090909,0.405,0.77
"Vaccinium parvifolium",20.41743,4,0.196300666666667
"Vaccinium uliginosum",13.921461170529,0.344285714285714,0.1735
"Vicia americana",19.4991045796,0.376269,11.3573483333333
"Vicia cracca",24.8359711266667,0.994,14.9495877777778
"Vicia faba",27.2542857142857,0.6427,855.3375
"Vicia hirsuta",22.1287210711765,0.324818181818182,5.2492845
"Vicia sativa",27.5850878118584,0.696686666666667,24.8787125
"Vicia tetrasperma",31.8964966933333,0.384375,4.24571428571429
"Vicia villosa",25.8778333333333,0.65,35.3364285714286
